userName,score,at,content
Dodik Yuliharto,1,2022-09-26 08:08:25,Saya mendukung program pemerintah klaim subsidi berbasis aplikasi. Tapi aplikasinya macem gini? Jadi problem dimana? Perlu saya bantu?
Asa,1,2022-09-26 01:39:12,Katanya ga boleh main hp di pom?
Hafrizal Lazuardi,1,2022-09-25 22:46:00,"Tim verifnya gimana sih, baru aja tau klo plat nmr mobilku terdaftar pemakai subsidi solar padahal mobil bensin . Iseng cb dftr pake app ini ternyata pendaftarannya byk verif nya, tp kok y plat nmrnya bs dipake org lain? Antara tim verifnya g bener apa emang ada dimainkan??"
Nagawi Mannawi,1,2022-09-25 21:35:48,"Udah pake lama asik2 aja. Eh skrg diminta masukin captcha. 3 kali dicoba, bersama petugas spbu. Gagal terus. Akhirnya pembayaran diganti dgn tunai. Makin tahun makin buruk."
David Caesar,1,2022-09-25 21:32:03,"Sudah daftar di web. Sudah dapat QR Code juga. Tapi ketika login di aplikasi ini, data kendaraan tidak ada. Lantas apa gunanya aplikasi ini? Coba pertamina jawab. Tksh."
Jhosua Mick,1,2022-09-25 20:24:52,"Bangkrut, aplikasi korban politik, rakyat Yang dibuat susah."
Bangday Transformers,3,2022-09-25 19:12:20,Tolong coba update dan perbaiki beberapa masalah teknis terutama saat generate QR code di mesin POS SPBUnya. Sering banget terkendala QR generate di mesin POS SPBU.
Bloop,1,2022-09-25 18:32:21,WOI BENERIN NAPA APLIKASINYA! UDH WAJIB PERTALITE PAKE APLIKASI TAPI BUTUT!
Yudea Kislewina,1,2022-09-25 16:57:06,Sangat whyyyy....
JRZ Gallery,1,2022-09-25 15:18:24,"Proses verifikasi lambat sekali,,,,,hrusnya sdh lbh canggih spy lbh cepat prosesnya. Rempong banget harus pake aplikasi seperti ini. 😭😭"
agung perdana,1,2022-09-25 13:09:16,Aplikasi sampah. Nyewa buzzer pula lagi untuk up rating. Sampah!!!
Alvin Dyatman,1,2022-09-25 07:20:47,Gangguan troosss
Inda Rahma,1,2022-09-25 07:19:58,Kaga bisa masuk oiiii. 2x regist sama ajee result nya
Wahyu Indra Kusuma,1,2022-09-24 23:40:31,Gak simple sama sekali. RIBET
Handris Kurlu,1,2022-09-24 20:45:06,Gak semua SPBU bs pake aplikasi ini. Alasannya error.
Hendra Wijaya,1,2022-09-24 20:37:23,ribet
Punee Setiabudi,1,2022-09-24 20:27:28,Ribettt.. Tiap mau dibuka logout sendirii app nya.. Hrs login lagi.. Di spbu jadi lama.. Blm kalo sinyalnya jelek..
Edisoni Dohona,1,2022-09-24 20:11:11,"Saya sudah memasukkan kode dengan benar, tapi katanya gagal, kode tidak valid. Aplikasi macam apa ini? Pertamina itu membantu atau mempersulit?"
Agus Pranyoto,1,2022-09-24 15:35:09,bad
Arfino Friandi,1,2022-09-24 15:31:09,"Sudah register, diterima, eh sekarang data kendaraan malah hilang di aplikasi."
apriandi noor rahman,1,2022-09-24 13:19:43,"sudah terverifikasi, giliran mau claim dianggap password salah mulu, bintang -1"
Bondi sky,1,2022-09-24 12:09:43,tambah ribet ngisi bbm
Sauli Lase,1,2022-09-24 11:51:40,Tolong jangan terlalu dipersulit untuk verifikasi. Semua sudah sesuai. Masih saja di tolak verifikasinya.
Ikhsan Tria Santika,1,2022-09-24 10:54:49,"We have to use mobile phone when we buy gas? on the other hand in every gas station there is a sign ""mobile phone is prohibited"" this is indonesia!!! Everything will be upside down"
Giga Kurnia,1,2022-09-24 10:34:21,"ERROR TERUS SAAT MAU BAYAR. PIN SELALU DIBILANG SALAH PADAHAL SAYA BARU SAJA LOGIN MENGGUNAKAN PIN YANG SAMA. MALAH MENYUSAHKAN KETIKA BAYAR, BIKIN LAMA, BIKIN NGANTRI."
Herbal Life,2,2022-09-24 09:24:56,Bad aplication.
Fian Ardiyana,1,2022-09-24 07:07:48,"Di saat yang lain meningkatkan customer experience. Pertamina go backwards, menyulitkan customer. Selesai isi bensin mau bayar pake MyPertamina, dibilangnya mestinya dari awal sebelum isi. Lah ditanya aja kagak. Terbutut Pertamina"
moon craat,1,2022-09-24 06:04:05,"Daftarnya sangat membagongkan ,app yg useless . Masak verifikasi estimasi 14 hari kerja 🗿, Kalau Wong cilik kesulitan daftar ini App bro !."
rogerwen 76,1,2022-09-24 01:24:01,Emang ga boleh dapet subsidi kita. Daftar aja ga bisa2. Aplikasi apa ini???
Tawfeeq Hidayat,1,2022-09-23 22:49:41,"Percuma pake aplikasi ini, di SPBU selalu saja gangguan dan tidak bisa pake aplikasi.. sekali bisa proses sampai 10 menit untuk pembayaran.. Setelah update aplikasi, semua poin dan history jadi menghilang. Jadi seperti baru lagi tanpa poin dan history.. 👎👎👎"
Pierre Leonard,1,2022-09-23 22:32:03,Aplikasi payah.. Menyulitkan rakyat
david gunawan,3,2022-09-23 18:56:50,"Programnya bagus cuman sayang untuk lokasi di kota jember jelek yang saya sesali ini dalam 2 minggu ini isi bensin pk my pertamina, jawabannya rusak terus n posisi saya ga bawa uang tunai sehingga kembali.. Mohon untuk segera d bantu karena di app ga bisa komplain Terima kasih"
Usqo Irwanto,1,2022-09-23 16:40:25,Aplikasi hack user wkwkekek
nuswan tara,1,2022-09-23 13:57:44,Bikin hidup susah
doni himawan,1,2022-09-23 11:57:05,Aplikasi terburuk yg pernah ada
Baskara Dwiki,1,2022-09-23 11:53:59,Payah BANGET!! GA BERGUNA!! DIMANA² POM SELALU GANGGUAN JARINGAN!! APLIKASI PEMERINTAH TAPI MALAH GA BERFUNGSI!!!!
Sa Id,1,2022-09-23 08:05:02,Kagak kerja kali ya. Lama prosesnya
Nep Van,1,2022-09-23 06:28:31,"Kualitas bbm di turunin harga di naikin. Pertamax ngga ngejoss kyk dulu lagi. Apalagi pertalite ya, kyk ngisi air kyknya."
JUSTICE Tube,1,2022-09-23 03:56:46,Useless app NIK DAN PLAT TIDAK.DITEMUKAN ... G****0****BL***0***G LAH...
apa aza deh,1,2022-09-22 23:27:21,Request login again
Afri Soni,2,2022-09-22 20:18:44,Mungkin yg kasih bintang 5 masih orang internal pertamina
Dani Narendra,4,2022-09-22 20:02:10,Sesuai janji bintang naik... Setelah saya sudah bisa login kembali.
Loyal Jungjung Siburian,1,2022-09-22 18:12:47,Aplikasi yg sangat menyulitkan dan penggunaan nya tidak friendly user.
Rikma Armanda,1,2022-09-22 18:03:22,Jelek
Bertone Anwar,1,2022-09-22 18:03:09,kode verifikasi sama persis dengan email terdaftar tapi dibilang failed sama aplikasi. dodol
Juan Pavac,1,2022-09-22 17:05:55,Can't logins after registration. What the heck the apps already launced for months
Han Ang,1,2022-09-22 16:21:30,"Aplikasi masih belum stabil.. tidak bisa masukkan data kendaraan, sementara kendaraan sudah terdaftar, dan mendapat qr code."
Nine Four,1,2022-09-22 15:28:56,Antri 1 jam malah gak terima non tunai
Gaga Alghifary,1,2022-09-22 13:58:15,Why forcing people when the apps not even ready? It just bugs all around. Fix your apps first so people can use it. After you fixed it you can force people to use it
Djoko Adi,1,2022-09-22 13:51:32,Gak bagus..
LAGA IRIYAWAN,1,2022-09-22 13:05:19,Pertahun Minyak Naik
Aris Anjangsana,1,2022-09-22 11:32:42,bad
Adriana Neysa,1,2022-09-22 10:08:13,"KALAU EMANG BELI BENSIN MUSTI DAFTAR SETIDAKNYA VERIFNYA GA 2 MINGGU JUGA KALI, EMANG GA BUTUH BELI BENSIN? SAYA EMG BUKAN PENGGUNA PERTAMAX, JANGAN SEMUA DIRATAKAN HARUS PERTAMAX OIIII"
HENDI AM,2,2022-09-22 09:03:01,"Aplikasinya mungkin cukup bagus, tp tidak membantu mempermudah, yg ada malah menambah antrian panjang di SPBU, harusnya pertamia mempersiapkan alat yg mudah digunakan dengan koneksi internet yg cepat agar lebih mempermudah operator SPBU"
Slegy Sanjaya,1,2022-09-22 07:11:36,"Gak guna, sulit pemakaian"
MRizky PagarAlam,1,2022-09-22 06:14:48,"Ga jelas, masa verifikasi data lebih dari seminggu"
jihadz p,1,2022-09-22 02:22:27,babi lah daftar 3 minggu gak ada kejelasan celeng
asli indonesia,1,2022-09-21 21:24:04,kardus di gembok!
Rizal Abidin,1,2022-09-21 21:05:38,"SETELAH UPDATE APPS, MALAH JADI GABSA DIPAKAI !!! DIBAGIAN PAYMENT, SAAT PAYMENT PAKAI LINK AJA, SCAN BARCODE MASUKIN NO PIN, MALAH MUNCUL SALAH PIN & CAPTCHA. SY MASUKAN NOMOR CAPTHA & PIN YV BENAR, MUNCUL POP UP TRANSAKSI GAGAL !! DI APPS SEBELUM UPDATE INI, TDK ADA CAPTHCA, SDH MASUKAN PIN TRX SELESAI. TOLONG SEGERA DIPERBAIKI !!!"
Andrew Moses,1,2022-09-21 21:01:11,DAFTAR AKUN 'SUBSIDI TEPAT' AJA GA BISA! TEKAN SELANJUTNYA BERKALI2 TETAP GA RESPON! TOLONG PERBAIKI!
Nathanael Vidhi,1,2022-09-21 20:43:25,"UI mu burik! gue bisa bikin yg lebih bagus, banyak yg rancu 🤌🏾😂"
Gee Broox,2,2022-09-21 19:05:19,Metode paymentnya jgn sama link aja doang dong. Susah buat access dan error mulu
Leody HK,1,2022-09-21 18:13:12,Payment failed terus
Agung Adiprasetya,1,2022-09-21 16:57:49,"Daftar subsidi pertamina udah 2 bulan masih belum dapat QR. Bolak balik nanya jawabannya suruh nunggu terus. Kalau memang ada yang salah atau kurang, langsung info aja tiap login atau via email. Jangan suruh nunggu tanpa kejelasan."
Yogi Agustian Nugroho,4,2022-09-21 14:37:21,Pretty much
faisal onassis siregar,1,2022-09-21 11:30:25,Buat susah kode verifikasi nya di krm bruntun gak bisa login...
ghulam alim,1,2022-09-21 10:54:46,Too much bugs
muse jet,1,2022-09-21 09:00:46,mempersulit dan aturan yang amburadul
Gustaf Putra,3,2022-09-21 08:20:41,Gak pernah dapet poin. Trs buat apa ada sistem poin
John Purwadi,1,2022-09-21 05:47:45,"UI jelek, UX parah, ribet dan tidak friendly"
Wihandaru Rivandiarsana,2,2022-09-20 19:38:23,"Bisa membantu memantau pengeluaran BBM, tp pembayaran sering eror dengan alasan mesinnya disconnected padahal di SPBU kode 41. Belum pengalaman buruk ga bawa cash dan hanya punya saldo di my pertamina, alhasil ninggal motor jalan kaki ke ATM karena ga bawa cash :') Kan sedih ya gaes yak. Aplikasinya sudah siap, SPBU nya sama sekali ga siap jadinya kaget :( bikin trauma pake aplikasi ini"
Kevin Fandian,1,2022-09-20 19:08:24,Ga bisa transaksi.. Captcha error mulu.. Benerin lah..
Rahmi Syuadzah,1,2022-09-20 18:54:23,Kualitas app sangat buruk
Tafaul Mujahidin,1,2022-09-20 18:09:53,Ga jelas
bavierando santosa,1,2022-09-20 17:00:20,"bolak balik registrasi, tetep ga bisa masuk ga bs log in.. anehh!!!"
Aryoguno Putro,1,2022-09-20 15:53:00,Beban negara 🗿☝
Herwando Agustian,1,2022-09-20 15:34:35,Cuman buat emosi
Ikhsan Teristi,1,2022-09-20 14:51:07,"Bikin rakyat tambah susah aja, birokrasi berbelit2, mobil xenia masak gbs isi prtalite.... bisa2nya harus isi solar.... parah pokoknya, verifikasi dah sminggu lbih gda perkembangan"
Agung Suryadinata,1,2022-09-20 12:09:27,"useless. Belagak digital, eh nyusahin. blokk"
darmawan surya,1,2022-09-20 11:41:39,Harga bbm udah naik ngapain masih pake aplikasi
Redview 13,1,2022-09-20 11:35:43,Perusahaan migas kok jual aplikasi blog!!!
Ghifari Zaka P.,1,2022-09-20 10:46:30,"Aplikasi Dafuk!! Berkali2 reset password, selalu notif yg muncul ""Password tidak sesuai"". All CS NO RESPONS AND ALWAYS NEVER RESPON OUR COMPLAIN!!!! SO, DON'T FORCE US TO USE THIS APP BEFORE ALL OF YOU CLEAR THIS BUG!!"
Zoey quinn,1,2022-09-20 09:13:28,"Take down it,aplikasi sampah.. sudah registrasi smp 4x untuk subsidi selalu ditolak dikarenakan foto stnk yg katanya tidak jelas. Padahal sudah jelas terbaca semua yang dibutuhkan.busuk!!"
Gede Srigatha,1,2022-09-20 08:14:23,Difficult to use due to lack of capabilities.
Yoga Dewantara,1,2022-09-20 08:04:51,"Untuk aplikasi sekelas milik BUMN, verifikasi 2 minggu terlalu lama, masih kalah dgn aplikasi pinjol2 ilegal yg cm butuh 24jam saja."
rahardrian prananditya,1,2022-09-20 07:59:14,Aplikasi yang tidak didukung kapabilitas admin dan SDM yg memadai. Nggak heran banyak laporan eror melulu. Ampun dah
Muh Rizqi,1,2022-09-20 07:04:39,Bukanya memudahkan ini malah menyusahkan bukanya bikin cepet tapi malah bikil lelet payah
aryartha sujendra,1,2022-09-20 06:31:24,Verry bad....
Antok,1,2022-09-20 03:56:20,"yah, ga bisa support semua spbu Pertamina"
Billy Budianto,1,2022-09-19 21:17:14,App bikin ribet
ferdian wahyudi,1,2022-09-19 21:13:54,Belum pernah daftar tapi begitu mendaftar dibilang sudah pernah daftar. Giliran coba masukin pin dibilang suruh daftar dulu ... engga jelas
rama indah,3,2022-09-19 21:11:54,"Pertama kali pake ini berhasil, tapi kemarin 1x sempet dari server pertamina pas di SPBU nya gak bisa jadi harus pake pembayaran lain. Tadi juga udah berhasil di app saya, tapi belum masuk di mesin edc di SPBU. Mungkin bisa diperbaiki lagi servernya dan di fasilitasi sarana internet yang memadai di setiap SPBU yang bisa pake my pertamina, jadi transaksinya tidak menghambat pemilik kendaraan yang lain."
Radinal Dewantara,1,2022-09-19 20:43:04,Unnecessary
muhammad rifai,1,2022-09-19 20:34:24,Eror. Kupon hilang semua jadi 0. Yang di spbu jg keseringan erornya
edward ecencia,1,2022-09-19 20:13:40,Kode verifikasi mana sih yg baru masuk 2 hari
indra andika prananda,1,2022-09-19 18:44:12,Tiap mau transakai sering gangguan
Januar Rizky,1,2022-09-19 15:00:40,Gak guna
donny prayogo,1,2022-09-19 12:37:29,Ribet banget pendaftarannya..
Dave Alexander Gschwind,1,2022-09-19 11:00:26,"Seperti biasa aplikasi pemerintah lambat & banyak masalah. Input no. Rangka autoclear jika diisi stengah lalu multitask, input NIK pengguna kendaraan ke 2 tidak bisa input NIK, OTP melalui email pada saat login tidak masuk2 dan tidak ada fitur re-send. Diminta foto No. Pol & jumlah roda, tapi cuma bisa masukin 1 foto, alhasil mobil saya balik macem hotwheels biar keliatan. Oh ga lupa juga pendaftaran gagal walau sudah sesuai, jadi main hotwheels lagi deh pake mobil beneran. -100/5"
fajar mashudi,1,2022-09-19 09:01:38,", tolong dong pertamina aplikasinya masukin kode subsidi sesuai yg di email kok g bisa di claim , sungguh membantu sekali padahal memenuhi syarat buat menerima subsidi #mobil 1300cc"
Ignatius Bagas,1,2022-09-19 08:54:13,"Minimal klo bensin naik, ngisinya ga pake ribet boss!"
Muhammad Wisnu Pratama Hardiana,1,2022-09-19 06:07:27,"Plat nomor saya telah terdaftar menggunakan biosolar, padahal mobilnya lcgc menengah yang jelas² butuh pertalite."
Ricky Candra,1,2022-09-18 23:44:31,👎👎
busana kita,1,2022-09-18 22:31:34,wasting time
Jatmiko Suminar,1,2022-09-18 21:49:56,Login trouble trs. Permintaan verifikasi (hanya) untuk login dr email lamaaaa.. Tlg diperbaiki
Feri Hermawan,1,2022-09-18 20:55:41,"Banyak gaya nyuruh (baca:maksa) orang pakai app ini. Gitu mau dipake, eh, ngadat servernya (kata petugas SPBU-nya). Ini bukan sekali-dua kali aja, tp sering. Mending beresin dulu internalnya sblm sok2an maksa2 orang banyak pake app-nya."
rakhmat starmoving,1,2022-09-18 20:13:58,Aplikasi belum layak kok sudah di launching
I Gede Darma,5,2022-09-18 18:47:08,Saldo linkaja sudah terupdate di mypertamina. Thx
Bambang Budiono,1,2022-09-18 18:17:37,"Jelek, appnya susah gajelas"
Fikri Widjaja,1,2022-09-18 18:11:59,JAN RIBET NAPA LU
古近衛黒子,1,2022-09-18 14:04:27,"Tidak bisa mendaftar. Kalau aplikasi belum optimal mending optimalin aja dulu dah sebelum ngelakuin kebijakan harus makai my pertamina. jangan atur kebijakan pas aplikasi masih baru bisa nampung tidak terlalu banyak. kan tau pengguna bbm banyak, alasan gak bisa masuk karena pendaftar banyak. lah dikira yang gunain bbm dikit apa."
M.P Nainggolan,1,2022-09-18 12:15:06,Aplikasi ruwetttttt buat cek hasil daftar subsidi aja makin susah karena kode verifikasi yg masuknya entah kapan ke email
Sundoro Saja,1,2022-09-18 11:32:05,Terlalu susah untuk yg bukan insan IT. Harus bolak balik belasan kali baru beehasil.
enough cc,1,2022-09-18 11:22:26,"Aplikasi nyusahun rakyat!!! Masih rusak dan sering crash, benerin dulu sebelum nyusahin rakyat!!!!!!"
Bejo,1,2022-09-18 11:08:22,"Ga bisa dipakai seminggu ini, gagal transaksi mulu."
Ahmad Faizin,1,2022-09-18 10:00:33,Error mulu
Andra Yudistira,1,2022-09-18 09:40:45,"nunggu diapprove 2 minggu. sudah diapprove, mau ambil QRnya password selalu tidak sesuai. sialan sengaja apa gimana nih ? password udah bener kok disalah salahin."
xytaa,1,2022-09-18 09:36:22,gg
sutrisno tri,1,2022-09-18 09:25:45,Useless
Ramen Before Bed,1,2022-09-18 08:31:39,"Aplikasi paling ga guna, nyari info apa2 gakada, mau komplain harus melalui email dan telfon, emangnya tahun 2010?"
Buka Box,1,2022-09-18 08:04:02,Jelek sekali. Isi data sudah lengkap tapi di submit tidak bisa dengan keterangan diminta isi semuda data terlebih dahulu. Aplikasi error koq ga ada perbaikan.
Andry Bey,1,2022-09-18 01:21:16,Can't use this application properly. They're not provide some vehicle brands in the list and too difficult to make payment.
Amelia Halim,1,2022-09-17 23:09:55,Very very useless app
Goverto Eko Cahyono,1,2022-09-17 22:53:03,verifikasinya perlu waktu lama. verifikasi email juga ga jelas. udah diketik sesuai kode verifikasi masih salah. pengen ngasih bintang 0 tapi ga bsa
zein's,1,2022-09-17 22:35:45,menyulitkan orang
Ilham Agus,1,2022-09-17 21:12:41,No words needed. 🤦
Sopian.saurii 22,1,2022-09-17 20:01:12,banyak elornya ying
Irfan Saputra,1,2022-09-17 19:33:39,Bikin repot aja
Dwi Ari Setyani,1,2022-09-17 19:26:40,Aplikasi super ribet... Emboh...
masbuset,4,2022-09-17 17:12:48,"Registrasi berhasil. Saldo Link Aja sudah sesuai. Belum dicoba transaksi. Sementara 4 bintang dulu. Jika nanti transaksi Link Aja lancar, kasih 5 bintang dah! semoga semua user segera bisa berhasil menggunakan aplikasi ini."
willy permana,1,2022-09-17 15:35:12,Registrasi lama banget... ini produk pemerintah 😂😂😂😂😪😪😪 harus berbenah sampe sekarang belum selesai registrasi.... pait pait
Video Bus,1,2022-09-17 14:43:54,Kode verifikasi salah terus
Pierev Ss,1,2022-09-17 13:19:10,call center pertamina kok bayar 25rb habis cuma buat nunggu antrian call
Purnomo Sidik Kustiyono,5,2022-09-17 13:11:07,Good
romy hardiansyah,1,2022-09-17 12:24:08,"Mau buka subsidi tepatnya tidak mau masuk, sudah di masukan kode yang dikirim ke email tetap tidak bisa, aplikasi BUMN kok bobrok"
Enzhiki Zhiroi,1,2022-09-17 12:11:15,"Gila ya, belon daftar koq di Pom bensin udh terdaftar, udh gitu BIO SOLAR lagi, padahal mobil saya Karimun Kotak? Mesinnya bensin , koq bisa tiba2 BIO SOLAR wah kacau nih, siapa yg bikin pake Plat nomer mobil saya, trus ngurusnya dimana GAK JELAS BANGET"
Jovita Susanto,1,2022-09-17 11:37:46,Verifikasinya gimana sih? Sudah diisi sesuai kode yg dikirim lewat email kenapa gagal terus??
swanggie swanggie,1,2022-09-17 05:26:04,"Data mobil solar, padahal mobil sy premium"
Bobby power,1,2022-09-17 01:01:31,Dipaksa donlod pdhal data base lg di hack BJORKA. nasibbbbb....
mister kompu,1,2022-09-16 23:14:39,saya iku kasih bintang satu karena tidak terlalu bermanfaat.
Ramadhan Putra,1,2022-09-16 22:39:36,Please add more payment method
Wiyar Saroyo,1,2022-09-16 21:56:37,The worst app
Yuliantos D.,1,2022-09-16 21:41:14,"Ribet banget mau ndaftarin bapak yg supir angkot buat dapet subsidi pertalite aja susah bgt ndaftarnya, verifikasinya juga lambat, aplikasi bumn kok ecek ecek, so lame"
Ryan,1,2022-09-16 20:15:55,Aplikasi ga guna
Ancelmus simamora,1,2022-09-16 19:48:46,PEMAKSAAN!!!
Wiko MPI,2,2022-09-16 19:47:47,selalu aja kalau app bumn selalu jelek kualitasnya
Hari Heryawan,1,2022-09-16 19:22:09,"HALAH TAKUT DI HACK BJORKA MALAH BIKIN RIBET PENGGUNA, SURUH VERIVIKASI 1 JAM GA KELUAR KELUAR KODE NYA, REGIST GA BERES BERES RIBET TOD!!!!"
siFulan,1,2022-09-16 18:22:35,"Di SPBU dilarang main HP, nah ini disuruh pake HP Gimana toh??"
Achmad Pipik djulfikrie,1,2022-09-16 17:58:58,Bad apps
Riyanto Anto,5,2022-09-16 16:14:29,Good
Chibi Boba Yuna,1,2022-09-16 16:04:26,Mobil pertalite ke baca di edc spbu bio solar
Andika Surya,1,2022-09-16 15:43:20,Please improve the apps for better experience
Cahyo B. Setiawan,5,2022-09-16 15:25:48,Saldo Linkaja sudah sesuai
Gusti Bagus Wibawa,1,2022-09-16 15:14:11,Garbage apps
Kevin Christian,1,2022-09-16 14:58:30,"Tidak dapat login ke subsiditepat karena kode verifikasi selalu gagal, padahal sudah diinput dengan benar sesuai kode yang didapat di email."
Ahmad Akbar,1,2022-09-16 14:10:37,"Gak bisa login 6x di coba, di kirim kode login verifikasi ke email di masukkan ke aplikasi dan website gagal terus, di anggap kode verifikasi tidak sesuai"
stephen halim,1,2022-09-16 13:50:01,Useless app
Alief Ardiansyah,1,2022-09-16 13:48:43,Kualitas aplikasi mencerminkan perusahaan
Arie Keating76,5,2022-09-16 13:10:03,Very good
Rifqi Hilman Parulian,1,2022-09-16 12:05:25,MENYUSAHKAN RAKYAT. BBM MASIH JUGA LANGKA. KATANYA KARNA HARGA MINYAK DUNIA MAHAL. UDAH NAEKIN HARGA BUAT BELI MINYAK DUNIA TAPI MASIH LANGKA.
Deddy Buana Permata Sam,1,2022-09-16 11:53:22,Sering bermasalah (offline) diSPBU
renaldy sany,1,2022-09-16 11:40:17,"Please google delete this app. ribet , klo naik ya naik aja gk usah pake aplikasi"
Eko Cahyono,1,2022-09-16 10:29:29,"Password klaim selalu salah, padahal sudah benar...sudah dicoba lupa password dan ganti dengan yg baru, pas selesai mau coba masuk masih dibilang salah, hadehhh...tolong dibenerin dl nih aplikasinya, untuk sekelas mypertamina kok ga beres gini"
yogi perdana,1,2022-09-16 10:28:23,merepotkan
Esa Ahmad Zahara,5,2022-09-16 10:21:33,Keren beut
Bekti Puja,1,2022-09-16 10:20:49,"aplikasi gak siap publish malah di publish, ini yang buat sekelas anak SD"
Rahmat Ade Saputra,1,2022-09-16 10:18:49,"Terlalu ribet, mau daftar subsidi aja malah dialihkan ke url website & loginnya mesti pake nik lagi. Padahal di aplikasi sudah login. Kayaknya aplikasi ini belum siap utk dipublish. Harusnya bikin aplikasi itu yang user friendly, bukan sebaliknya."
Edwin Kinesya,2,2022-09-16 09:57:23,Email OTP 6 digit verifikasi login sangattt lama mulai dari 10 menit sampai 1 hari baru masuk emailnya..
Stephanus Marco,1,2022-09-16 09:55:00,Aplikasi tiada guna
icung kusnamarta,1,2022-09-16 09:42:44,Aplikasi banyak error. Sampaikan keluhan via email tidak ada penyelesaian.
agiLsanjero,1,2022-09-16 09:20:39,Good
Arief Taufan S.,3,2022-09-16 08:49:28,Tipis...
Joe's channel,1,2022-09-16 08:36:53,"Aplikasi tidak berguna,malah menyusahkan rakyat"
Andri NuMe,1,2022-09-16 08:34:46,"I've tried twice to buy BBM through this application, but it keeps failing. Too much authentication, even though it is already connected to LinkAja which has PIN security."
Andri Lee,1,2022-09-16 07:19:42,Kode verifikasi login bener tapi tetep gagal.. aneh tp nyata
Ignatio Benigno,1,2022-09-15 21:00:18,Instruction not clear. They stop the registration.
Gizella Frances,1,2022-09-15 20:54:05,"Kalo bs kasih nol, bakal dikasih nol ckckck"
Leismanario Rafar,1,2022-09-15 20:12:43,"Ga jelas ni aplikasi, sudah coba di tolak tanpa penjelasan"
Manchu Solaris,1,2022-09-15 19:11:13,"not easy to use, so hard"
Ricardo Sihaloho,1,2022-09-15 16:56:28,Kode Verifikasi login gagal terus. Padahal sudah sesuai.
Mahbub Mishima,1,2022-09-15 16:48:15,the best
Retelina Satya,1,2022-09-15 11:05:28,otp ga masuk2 udh nyoba 10 kali tetep gabisa
Samuel Lesmana,1,2022-09-15 10:24:04,Tidak membantu sama sekali
Teja kusuma,1,2022-09-15 10:16:51,APPS GA GUNA. VERIFIKASI LAMA PADAHAL UDAH DAFTAR TAPI DINYATAKAN NIK DAN NOPOL TIDAK TERDAFTAR. MOBIL SOLAR TAPI DI POM DINYATAKAN PERTALITE PENGELOLAAN DATA GA BECUS UDAH DIPAKSA SURUH PAKE. BOBROK !!!
Nurul Nurullah,1,2022-09-15 08:40:40,"Pelayanan nya Makin lambat semenjak ada aturan baru,, falitas kompresor tambah angin banyak yang rusak"
Rahadyan Yudistira,1,2022-09-15 08:01:24,Aplikasi yang sangat tidak bermanfaat
Ahmad Silmarillion,1,2022-09-15 02:11:54,"Semula ada keterangan sisa kuota harian bbm Solar, tapi kemudian hilang tidak ada lagi keterangan. Sepertinya ada kesengajaan dihilangkan agar user tidak dapat memonitor sisa kuota harian nya dan rawan penyalahgunaan yang tidak dapat termonitor oleh user."
Galang Rambu Anarki,1,2022-09-14 19:51:02,"Tolong bantu cek verifikasi subsidi , lama banget soalnya , tolong kasih informasi biar tau ."
Hael Liyah,1,2022-09-14 18:58:12,Saya tidak bisa menghubungkan aplikasi ini dengan link aja sedangkan pembayaran dengan link aja..
Mirza Saputra,1,2022-09-14 18:54:15,Aneh
Al Chudori,1,2022-09-14 17:32:42,"Gagal terus verifikasi, ayolah jangan kalah sama aplikasi pinjaman online."
Dorst Id,1,2022-09-14 17:30:34,"Too many bug in apps, not ready to release yet but its imposing to go live, very bad apps"
lathif suryandana,5,2022-09-14 15:13:04,Gagal transaksi
Setia Buana,1,2022-09-14 14:24:34,gak guna
Nana Nabilah,1,2022-09-14 13:19:35,Kita hanya bisa bersabar menghadapi manusia2 tidak berkompeten dibidangnya
Ade Pratama,1,2022-09-14 11:51:25,Bad apps
Arif Rahman Hakim,1,2022-09-14 11:15:50,Ketika create password boleh pake tanda petik `. Giliran login gk bisa ketik tanda itu. Giliran atur ulang password loading terus gk beres2. Mohon diperbaiki.
Yordan Kusuma,1,2022-09-14 10:45:58,"RIBEDDDDD NYUSAHIN RAKYATT!!!! MAU REGISTER MALAH NIK DAN PASSWORD SALAH,, DAFTAR AJA BELUM PERNAH GIMANA SALAH?!"
B U T L E R Gaming,1,2022-09-14 07:58:26,APK PEMERINTAH EMANG GAK PERNAH ADA YG BENER
Hericho Jeffryanto,1,2022-09-14 07:52:33,Aplikasi kalera.. paniang wak..
Rommy G (R.G),1,2022-09-14 07:11:05,Ribettt coy... Dah seminggu lbh blm sukses verifikasi.... Apa2an ni layanan
Muhammad Ichsan,1,2022-09-13 23:44:16,ribet babgsat
Juna Visuals,1,2022-09-13 23:20:05,"Semoga orang"" dibalik pembuat kebijakan yg menyusahkan banyak orang diberi kesadaran oleh Tuhan Yang Maha Esa baik dengan cara halus maupun cara extreme brutal."
Wilbert Toh,1,2022-09-13 23:16:37,Tidak bisa registrasi Selalu crash
Nur Muhaimin Alim,1,2022-09-13 21:08:32,Ribet
fajar hariyanto,1,2022-09-13 19:51:13,"Tolong dimatangkan dulu programnya, pikirkan kendaraan instansi pendidikan yang tidak bisa diatas namakan personal, terus harus registrasi dengan apa... Ya."
brillian,1,2022-09-13 19:37:12,Error appnya
Muhammad Luqman,1,2022-09-13 18:13:58,Ga ada menu subsidi tepat
